GlobalEventsID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	isRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	Goldstien	NumMentions	NumSources	NumArticles	AvgTone	Actor1GeoType	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1GeoADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1GeoFeatureID	Actor2GeoType	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2GeoADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2GeoFeatureID	ActionGeoType	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeoADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeoFeatureID	DateAdded	SourceURL
1210815339	20241119	202411	2024	2024.8740	JUD	ATTORNEY						JUD			USA	UNITED STATES	USA								0	043	043	04	1	2.8	4	1	4	0.44910179640719	3	Hinsdale, Illinois, United States	US	USIL	IL043	41.8009	-87.937	421852	3	Hinsdale, Illinois, United States	US	USIL	IL043	41.8009	-87.937	421852	3	Hinsdale, Illinois, United States	US	USIL	IL043	41.8009	-87.937	421852	20241119171500	https://patch.com/illinois/lagrange/lths-officials-review-closed-door-recordings
1210815340	20241119	202411	2024	2024.8740	JUD	COURT JUDGE						JUD			USA	UNITED STATES	USA								0	173	173	17	4	-5.0	4	1	4	-2.71149674620391	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	20241119171500	https://marylandreporter.com/2024/11/19/state-roundup-biden-includes-new-key-bridge-in-100-billion-ask-for-emergency-funding-senate-pres-ferguson-says-with-large-budget-gap-everything-is-on-the-table/
1210815341	20241119	202411	2024	2024.8740	JUDJUD	APPELLATE COURT						JUD	JUD		EDUEDU	SCHOOL						EDU	EDU		0	100	100	10	3	-5.0	5	1	5	-1.97486535008977	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20241119171500	https://www.baltimoresun.com/2024/11/19/bradford-schools-case-appeals-court/
1210815342	20241119	202411	2024	2024.8740	KHM	CAMBODIA	KHM								FRA	PARIS	FRA								1	036	036	03	1	4.0	5	1	5	0.39138943248532	1	Cambodia	CB	CB		13	105	CB	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20241119171500	https://www.phnompenhpost.com/national/kingdom-uses-cop29-to-urge-stronger-climate-action-by-developed-nations
1210815343	20241119	202411	2024	2024.8740	KHM	CAMBODIA	KHM								FRA	PARIS	FRA								1	036	036	03	1	4.0	2	1	2	0.39138943248532	1	Cambodia	CB	CB		13	105	CB	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cambodia	CB	CB		13	105	CB	20241119171500	https://www.phnompenhpost.com/national/kingdom-uses-cop29-to-urge-stronger-climate-action-by-developed-nations
1210815344	20241119	202411	2024	2024.8740	KHM	CAMBODIAN	KHM								GOVENV	MINIST OF ENVIRONMENT						GOV	ENV		1	043	043	04	1	2.8	5	1	5	0.39138943248532	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20241119171500	https://www.phnompenhpost.com/national/kingdom-uses-cop29-to-urge-stronger-climate-action-by-developed-nations
1210815345	20241119	202411	2024	2024.8740	KHM	CAMBODIAN	KHM								KHMGOVENV	CAMBODIA	KHM					GOV	ENV		1	043	043	04	1	2.8	1	1	1	0.39138943248532	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20241119171500	https://www.phnompenhpost.com/national/kingdom-uses-cop29-to-urge-stronger-climate-action-by-developed-nations
1210815346	20241119	202411	2024	2024.8740	KHMGOVENV	CAMBODIA	KHM					GOV	ENV		KHM	CAMBODIAN	KHM								1	042	042	04	1	1.9	1	1	1	0.39138943248532	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20241119171500	https://www.phnompenhpost.com/national/kingdom-uses-cop29-to-urge-stronger-climate-action-by-developed-nations
1210815347	20241119	202411	2024	2024.8740	KOR	SOUTH KOREA	KOR																		0	194	194	19	4	-10.0	8	1	8	-3.94311570782159	1	South Korea	KS	KS		37	127.5	KS	0								1	South Korea	KS	KS		37	127.5	KS	20241119171500	https://www.cbc.ca/news/world/ukraine-russia-us-atacms-missiles-1.7387124
1210815348	20241119	202411	2024	2024.8740	LAB	WORKER						LAB													0	030	030	03	1	4.0	2	1	2	-6.13718411552346	4	Vasai, Maharashtra, India	IN	IN16	17783	19.35	72.8	-2114250	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20241119171500	https://www.thehindu.com/elections/maharashtra-assembly/maharashtra-assembly-elections-bva-accuses-bjps-vinod-tawde-of-cash-distribution/article68885225.ece
1210815349	20241119	202411	2024	2024.8740	LAB	WORKER						LAB													0	036	036	03	1	4.0	2	1	2	-6.13718411552346	4	Vasai, Maharashtra, India	IN	IN16	17783	19.35	72.8	-2114250	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20241119171500	https://www.thehindu.com/elections/maharashtra-assembly/maharashtra-assembly-elections-bva-accuses-bjps-vinod-tawde-of-cash-distribution/article68885225.ece
1210815350	20241119	202411	2024	2024.8740	LAB	WORKER						LAB													0	051	051	05	1	3.4	3	1	3	4.93273542600897	5	Ekiti State, Ekiti, Nigeria	NI	NI54	22967	7.66667	5.25	9098618	0								5	Ekiti State, Ekiti, Nigeria	NI	NI54	22967	7.66667	5.25	9098618	20241119171500	https://punchng.com/oyebanji-approves-n70000-minimum-wage-for-ekiti-workers/
1210815351	20241119	202411	2024	2024.8740	LAB	EMPLOYEE						LAB													0	060	060	06	2	6.0	5	1	5	4.79302832244009	4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	20241119171500	https://www.newswire.ca/news-releases/working-canadians-in-their-twenties-experiencing-the-most-negative-impacts-on-well-being-832382910.html
1210815352	20241119	202411	2024	2024.8740	LAB	TRADE UNION						LAB													0	071	071	07	2	7.4	10	1	10	-0.43057050592034	1	Finland	FI	FI		64	26	FI	0								1	Finland	FI	FI		64	26	FI	20241119171500	https://yle.fi/a/74-20125731
1210815353	20241119	202411	2024	2024.8740	LAB	EMPLOYEE						LAB													0	111	111	11	3	-2.0	10	1	10	-2.78330019880716	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20241119171500	https://timesofindia.indiatimes.com/world/us/nikki-haley-calls-out-morning-joe-hosts-for-meeting-with-trump-they-saw-their-ratings/articleshow/115457486.cms
1210815354	20241119	202411	2024	2024.8740	LAB	UNIONS						LAB													1	112	112	11	3	-2.0	10	1	10	-0.43057050592034	1	Finland	FI	FI		64	26	FI	0								1	Finland	FI	FI		64	26	FI	20241119171500	https://yle.fi/a/74-20125731
